nms,dataset,var,time,stat,value
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-08-01T00:00:00Z,mean,4.946396525711455
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-08-01T00:00:00Z,sd,3.34184426546762
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-09-01T00:00:00Z,mean,4.9755228716642295
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-09-01T00:00:00Z,sd,3.42646084557209
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-10-01T00:00:00Z,mean,5.024565467016494
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-10-01T00:00:00Z,sd,3.4673255545878496
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-11-01T00:00:00Z,mean,4.914013140537637
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-11-01T00:00:00Z,sd,3.3617778630030934
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-12-01T00:00:00Z,mean,5.057229362745234
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1995-12-01T00:00:00Z,sd,3.5272803016644563
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-01-01T00:00:00Z,mean,5.130317946222235
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-01-01T00:00:00Z,sd,3.636728452622525
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-02-01T00:00:00Z,mean,5.0722990131124535
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-02-01T00:00:00Z,sd,3.5614369832296666
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-03-01T00:00:00Z,mean,4.928443850196422
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-03-01T00:00:00Z,sd,3.4048774146959766
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-04-01T00:00:00Z,mean,4.838244122869157
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-04-01T00:00:00Z,sd,3.331523549445444
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-05-01T00:00:00Z,mean,4.67958423622111
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-05-01T00:00:00Z,sd,3.085231231830873
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-06-01T00:00:00Z,mean,4.782640697315652
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-06-01T00:00:00Z,sd,3.1687377792764053
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-07-01T00:00:00Z,mean,4.725260704914306
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-07-01T00:00:00Z,sd,3.1045699406964644
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-08-01T00:00:00Z,mean,4.874024802541479
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-08-01T00:00:00Z,sd,3.283614562203091
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-09-01T00:00:00Z,mean,4.892102149414256
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-09-01T00:00:00Z,sd,3.336880434215308
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-10-01T00:00:00Z,mean,5.01817605993215
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-10-01T00:00:00Z,sd,3.4853946352066107
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-11-01T00:00:00Z,mean,5.009386729211249
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-11-01T00:00:00Z,sd,3.5217690604816703
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-12-01T00:00:00Z,mean,4.910943108353209
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1996-12-01T00:00:00Z,sd,3.369499336943466
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-01-01T00:00:00Z,mean,5.122494818523843
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-01-01T00:00:00Z,sd,3.612551308635074
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-02-01T00:00:00Z,mean,5.188087536616528
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-02-01T00:00:00Z,sd,3.6922087702514137
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-03-01T00:00:00Z,mean,4.810193067376918
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-03-01T00:00:00Z,sd,3.208632633589221
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-04-01T00:00:00Z,mean,4.87640914225832
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-04-01T00:00:00Z,sd,3.314353251294615
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-05-01T00:00:00Z,mean,4.8311066876383535
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1997-05-01T00:00:00Z,sd,3.254957340350034
