nms,dataset,var,time,stat
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_277,2016-01-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_277,2016-01-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_278,2016-02-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_278,2016-02-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_279,2016-03-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_279,2016-03-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_28,1995-04-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_28,1995-04-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_280,2016-04-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_280,2016-04-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_281,2016-05-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_281,2016-05-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_282,2016-06-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_282,2016-06-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_283,2016-07-01T00:00:00Z,mean
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_283,2016-07-01T00:00:00Z,sd
GFNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_284,2016-08-01T00:00:00Z,mean
